#{"t_start": 1635293784.2522497, "env_id": "Sprites-v0"}
r,l,t
-2.368395,40,0.109303
4.463982,40,0.156168
4.829897,40,0.218653
2.774916,40,0.265517
1.138999,40,0.328
3.619562,40,0.390486
-0.627133,40,0.68729
0.040358,40,0.734155
6.653315,40,0.796641
4.262602,40,0.874787
4.725277,40,0.937232
7.128962,40,0.984143
6.859965,40,1.296567
3.81027,40,1.359047
1.094709,40,1.405874
-4.596621,40,1.468359
3.034368,40,1.515263
2.25632,40,1.57771
4.872599,40,1.850104
2.29756,40,1.912588
5.770521,40,1.975075
8.980282,40,2.037557
4.642087,40,2.115667
8.03821,40,2.162528
5.787459,40,2.474955
0.809628,40,2.52182
3.907833,40,2.593365
6.843768,40,2.642898
5.589282,40,2.70538
3.063184,40,2.767868
10.034908,40,3.033429
-0.647506,40,3.111534
0.41705,40,3.174019
5.337811,40,3.220885
5.189026,40,3.29899
6.581052,40,3.345857
3.986079,40,3.658283
2.258867,40,3.720768
7.184271,40,3.767631
0.098512,40,3.830117
5.382445,40,3.892602
6.183484,40,3.955087
5.137176,40,4.267513
6.33287,40,4.329998
8.024999,40,4.392482
4.213703,40,4.454968
4.250448,40,4.517456
2.844269,40,4.564319
8.673662,40,4.845502
0.882312,40,4.92361
6.793458,40,4.972807
4.692466,40,5.050915
4.971452,40,5.097778
8.970706,40,5.160264
1.142033,40,5.425825
-1.097747,40,5.47269
3.795067,40,5.519553
3.579044,40,5.597661
1.534108,40,5.675766
2.330348,40,5.738251
1.13414,40,6.014466
5.702159,40,6.077921
3.528278,40,6.124787
8.423092,40,6.187271
5.974485,40,6.234136
8.056349,40,6.296622
6.399695,40,6.577809
7.426111,40,6.65591
-3.603172,40,6.702774
10.1659,40,6.759268
7.193424,40,6.806134
3.06407,40,6.868618
1.250794,40,7.149842
2.58929,40,7.212288
2.001726,40,7.274771
3.992965,40,7.337288
-2.670647,40,7.384167
6.913503,40,7.446646
6.505252,40,7.72779
4.687361,40,7.790275
5.200772,40,7.852762
4.896014,40,7.899626
3.579295,40,7.962111
8.163963,40,8.008974
3.734273,40,8.305779
7.199257,40,8.352643
1.393871,40,8.415128
6.423526,40,8.461993
-2.245509,40,8.524477
6.371293,40,8.602587
-2.657277,40,8.868184
2.250288,40,8.91501
5.008642,40,8.961874
-1.436126,40,9.040019
-3.60194,40,9.118087
0.606691,40,9.164951
1.513113,40,9.446134
5.83774,40,9.524243
4.375519,40,9.586728
5.871276,40,9.649213
2.667851,40,9.711698
-3.177415,40,9.758561
7.537907,40,10.024126
2.789312,40,10.086609
3.350019,40,10.149096
