#{"t_start": 1635200000.9374106, "env_id": "Sprites-v2"}
r,l,t
3.507432,40,0.125004
7.045851,40,0.187455
8.939294,40,0.249985
10.787768,40,0.31243
5.211116,40,0.390535
8.87013,40,0.4374
6.139739,40,1.504491
4.510832,40,1.596634
2.017543,40,1.68702
8.027001,40,1.753331
4.980453,40,1.800235
7.892201,40,1.887847
5.181853,40,2.95119
5.122283,40,3.053878
0.618903,40,3.131709
6.727451,40,3.214446
0.262452,40,3.299219
-1.047026,40,3.389987
5.816968,40,4.375609
-0.182209,40,4.438135
10.326653,40,4.5162
2.679947,40,4.594309
7.819269,40,4.672414
3.875623,40,4.750551
5.54399,40,5.709906
10.420148,40,5.78235
1.963515,40,5.87024
6.044453,40,5.974785
7.833711,40,6.055569
0.651586,40,6.111463
1.357971,40,6.963183
3.411972,40,7.025672
3.32605,40,7.088122
9.993046,40,7.166229
9.310732,40,7.244367
5.499814,40,7.306866
8.678747,40,8.153176
11.503989,40,8.221033
-0.217713,40,8.267546
6.622871,40,8.345692
7.257382,40,8.423804
1.232171,40,8.486245
1.774267,40,9.353765
1.817882,40,9.416248
1.853286,40,9.478735
2.856925,40,9.572496
1.457309,40,9.678247
5.158601,40,9.718193
2.766524,40,10.656885
3.683765,40,10.703788
7.486825,40,10.766236
0.613608,40,10.845502
-0.838839,40,10.917312
7.863944,40,10.999092
4.264432,40,11.845661
3.572072,40,11.927442
7.789497,40,11.99726
0.742789,40,12.060089
3.434205,40,12.147897
1.429729,40,12.213678
7.816043,40,13.042763
4.412367,40,13.105211
0.381865,40,13.183356
5.192203,40,13.245846
6.479945,40,13.323907
1.391455,40,13.402018
4.381607,40,14.221381
1.514048,40,14.299487
3.436863,40,14.377625
2.68723,40,14.455731
8.012187,40,14.518184
-4.04353,40,14.580669
0.226733,40,15.441828
1.209221,40,15.519934
3.811366,40,15.613631
8.661921,40,15.676147
4.597902,40,15.738633
0.357057,40,15.81674
5.343533,40,16.675881
5.719188,40,16.738399
7.49201,40,16.816511
2.473589,40,16.894611
4.239491,40,16.97273
4.219587,40,17.050824
11.354484,40,17.901404
2.788417,40,17.979513
-2.457081,40,18.026375
3.861643,40,18.104512
-1.734843,40,18.166967
-3.331385,40,18.229454
-1.594187,40,19.057427
2.742779,40,19.135521
1.689945,40,19.198013
6.226476,40,19.291733
3.409037,40,19.354232
8.449497,40,19.432295
2.237667,40,20.27239
3.807152,40,20.334836
6.193517,40,20.412972
7.612317,40,20.459846
3.677594,40,20.537954
3.496057,40,20.616051
5.612933,40,21.440837
6.199989,40,21.518986
6.724117,40,21.581431
5.076074,40,21.643913
7.157137,40,21.706398
5.997214,40,21.753262
3.573507,40,22.581241
1.450755,40,22.64368
0.73217,40,22.706193
7.919688,40,22.768679
0.585217,40,22.831133
8.147524,40,22.893658
-1.850053,40,23.784034
4.516641,40,23.862186
0.89993,40,23.909005
2.894612,40,23.987157
6.538678,40,24.054702
5.096184,40,24.132763
7.647645,40,24.960696
9.392461,40,25.02318
3.766186,40,25.101325
5.631956,40,25.179394
5.048063,40,25.24188
-0.109989,40,25.320024
7.529304,40,26.171417
3.772146,40,26.233939
8.800061,40,26.296434
0.594822,40,26.374521
5.219889,40,26.452633
1.66143,40,26.515085
5.701718,40,27.37274
4.350549,40,27.435228
2.135887,40,27.497716
9.989426,40,27.575781
3.075158,40,27.653931
3.213732,40,27.732032
4.398249,40,28.587943
8.094135,40,28.666051
2.965269,40,28.744117
6.36275,40,28.8066
4.200407,40,28.884738
2.011094,40,28.94723
9.260901,40,29.775153
3.697988,40,29.837607
-4.24456,40,29.900095
4.138326,40,29.978199
6.750504,40,30.025063
-2.917071,40,30.103169
8.034653,40,30.931102
3.367155,40,31.024867
-3.340382,40,31.087361
4.000687,40,31.165458
-2.210573,40,31.243562
-3.02666,40,31.306053
5.28737,40,32.176421
-4.944826,40,32.238904
7.929412,40,32.301389
8.190357,40,32.348289
-0.531455,40,32.426361
4.896884,40,32.484548
5.883561,40,33.323151
3.193419,40,33.385639
4.29671,40,33.448166
3.161068,40,33.52623
1.003848,40,33.588755
7.674739,40,33.655061
11.346301,40,34.524836
1.579259,40,34.571747
1.622024,40,34.649852
11.481585,40,34.712295
4.598233,40,34.774781
-0.196745,40,34.852917
4.755532,40,35.727504
5.536079,40,35.77437
8.214826,40,35.836842
1.29217,40,35.899292
4.84698,40,35.977435
5.522924,40,36.053223
1.631604,40,36.912445
5.898095,40,37.006124
-1.445785,40,37.084269
3.23763,40,37.162335
7.844171,40,37.22482
8.050252,40,37.31859
2.642009,40,38.164261
6.772498,40,38.242367
6.674385,40,38.30485
5.081433,40,38.351716
7.378261,40,38.445445
4.155267,40,38.523603
7.218916,40,39.414003
8.923198,40,39.476449
2.149786,40,39.57022
0.255033,40,39.663945
5.226626,40,39.742059
2.838911,40,39.820156
-0.151024,40,40.694915
5.671067,40,40.741777
8.49777,40,40.804265
8.206164,40,40.89799
2.786223,40,40.944856
5.905008,40,41.022962
8.852367,40,41.882176
0.267146,40,41.960294
2.180217,40,42.032925
6.354079,40,42.11103
4.019548,40,42.173522
7.635474,40,42.235963
4.237829,40,43.112349
2.075257,40,43.174796
4.430311,40,43.237319
6.017013,40,43.315431
0.495183,40,43.377873
-2.844048,40,43.456015
7.560767,40,44.315181
6.94299,40,44.393306
3.394433,40,44.471401
4.442781,40,44.54951
4.672068,40,44.643231
7.016438,40,44.70573
6.248935,40,45.596101
3.679397,40,45.674258
5.095534,40,45.752315
4.99513,40,45.814799
-2.890807,40,45.892905
9.978057,40,45.955435
7.051307,40,46.830226
3.976298,40,46.892669
-2.190414,40,46.970775
7.463124,40,47.048919
1.976881,40,47.09579
5.141671,40,47.158269
4.940823,40,47.986161
7.696785,40,48.06427
2.029939,40,48.142411
5.442425,40,48.220512
3.250347,40,48.29859
8.538549,40,48.345493
2.650397,40,49.189005
4.796136,40,49.251532
3.451666,40,49.329637
8.33467,40,49.376502
7.284047,40,49.438946
2.595086,40,49.517053
8.84581,40,50.376225
-5.149466,40,50.438748
-0.014411,40,50.516861
3.614906,40,50.591814
5.456575,40,50.657097
0.663746,40,50.719584
7.350871,40,51.574356
-3.06057,40,51.62117
5.892729,40,51.687169
0.078229,40,51.749654
1.365196,40,51.812141
6.893167,40,51.87209
0.294729,40,52.886754
4.526163,40,52.966973
5.912771,40,53.037785
5.838681,40,53.112583
6.420174,40,53.177411
6.616636,40,53.256199
5.913988,40,54.167847
2.229823,40,54.292115
7.006813,40,54.408802
2.287048,40,54.473672
6.350981,40,54.567424
7.132073,40,54.64422
3.925393,40,55.618468
2.497504,40,55.722191
4.151445,40,55.818932
9.334353,40,55.909479
5.417647,40,55.989498
3.352244,40,56.083259
4.197879,40,57.013891
6.358422,40,57.076416
5.070712,40,57.154483
6.844849,40,57.232592
8.109267,40,57.295114
0.162022,40,57.373222
5.170238,40,58.27783
4.196439,40,58.355899
3.754844,40,58.434044
1.908392,40,58.496529
8.699799,40,58.574635
1.745991,40,58.637079
2.572884,40,59.511877
9.229395,40,59.590023
7.281948,40,59.652505
7.984214,40,59.741488
0.446033,40,59.79322
4.816979,40,59.892675
5.519698,40,60.84416
7.290927,40,60.906683
7.660528,40,60.984789
4.299619,40,61.062903
7.551246,40,61.125343
2.692384,40,61.187868
3.80019,40,62.088736
7.180112,40,62.151222
-0.773742,40,62.213667
5.47029,40,62.291812
-1.418681,40,62.369882
6.558347,40,62.455228
6.7466,40,63.310684
0.889069,40,63.388834
6.452472,40,63.466898
0.672803,40,63.54504
4.7724,40,63.623146
7.661103,40,63.716877
3.427881,40,64.576046
3.374348,40,64.65416
6.152688,40,64.732266
7.163236,40,64.794745
6.364265,40,64.888438
3.746763,40,64.963491
1.604449,40,65.861431
-0.851095,40,65.944622
7.468062,40,66.038385
3.80921,40,66.1165
2.382581,40,66.210186
7.212094,40,66.272671
8.273494,40,67.190562
5.692437,40,67.277597
5.052288,40,67.362407
5.923742,40,67.447722
6.270665,40,67.520483
3.000141,40,67.583355
8.261034,40,68.539283
0.798124,40,68.646032
0.656082,40,68.726827
4.37833,40,68.803684
8.12131,40,68.8863
2.224324,40,68.935246
10.112129,40,69.899729
5.256402,40,69.992105
5.029449,40,70.064003
-0.179665,40,70.135864
10.44217,40,70.218023
5.240964,40,70.296168
4.353139,40,71.175548
7.22429,40,71.237998
4.258114,40,71.316103
3.033681,40,71.409831
7.18265,40,71.499625
0.800258,40,71.597362
8.288254,40,72.56111
7.638652,40,72.623558
3.180266,40,72.686042
5.391593,40,72.766905
-0.68734,40,72.842658
0.189911,40,72.926434
5.209897,40,73.833921
3.481021,40,73.917699
-3.323477,40,74.000476
8.028308,40,74.051451
4.688381,40,74.129594
7.744673,40,74.192043
10.15907,40,75.287721
3.534847,40,75.367078
-0.605089,40,75.476428
-0.069844,40,75.554536
5.012959,40,75.632641
4.49226,40,75.710788
6.709774,40,76.721292
3.053758,40,76.811053
2.518733,40,76.902974
4.398518,40,77.005744
-1.323224,40,77.099472
11.415506,40,77.193201
5.266927,40,78.296934
7.170852,40,78.404766
5.687081,40,78.503825
5.49558,40,78.572641
-1.791145,40,78.646442
11.967109,40,78.735205
-1.789402,40,79.692377
2.699584,40,79.767652
4.741248,40,79.832599
-6.433303,40,79.910659
8.465418,40,79.973185
9.321543,40,80.066921
6.47852,40,80.978554
-4.18657,40,81.062248
3.299282,40,81.140352
2.229057,40,81.202839
8.395271,40,81.29661
7.282622,40,81.376804
5.605303,40,82.356443
3.644087,40,82.416972
2.174207,40,82.510701
1.128247,40,82.601675
7.968318,40,82.70041
10.106145,40,82.763867
3.473061,40,83.649207
10.385028,40,83.727268
4.444186,40,83.789749
6.3002,40,83.867858
6.585703,40,83.945999
8.16307,40,84.03969
5.615729,40,85.025837
5.257481,40,85.103942
3.481291,40,85.196988
3.912839,40,85.263499
5.703396,40,85.357225
5.546422,40,85.435334
2.296122,40,86.509183
2.841138,40,86.587327
2.924996,40,86.665396
-0.965967,40,86.743501
7.461932,40,86.790377
8.328166,40,86.868472
2.934095,40,87.819307
0.897019,40,87.881263
1.5459,40,87.959409
6.999424,40,88.079799
-2.055508,40,88.199446
5.911581,40,88.285514
4.646566,40,89.189168
7.554726,40,89.248708
1.714116,40,89.311196
-1.842982,40,89.389342
-1.762856,40,89.451786
3.949222,40,89.514315
4.0785,40,90.474025
2.854503,40,90.552134
7.205262,40,90.630279
8.822706,40,90.708385
3.432313,40,90.796766
4.957644,40,90.870566
0.229182,40,91.824144
3.250825,40,91.896021
1.727839,40,91.958508
4.327858,40,92.036571
-1.712924,40,92.126787
1.581053,40,92.199355
3.520381,40,93.199152
6.06518,40,93.277711
4.404695,40,93.35583
-0.17454,40,93.433924
7.153378,40,93.527613
2.994668,40,93.5901
5.384135,40,94.464891
-0.338276,40,94.543039
8.039332,40,94.621144
8.95933,40,94.667969
1.845267,40,94.746077
2.533496,40,94.824226
6.058653,40,95.709213
6.189529,40,95.7717
8.260347,40,95.849842
4.256779,40,95.927949
2.962085,40,96.021684
5.635283,40,96.099788
2.895806,40,97.099512
2.395089,40,97.193238
8.104525,40,97.271386
5.94332,40,97.349494
5.266114,40,97.427558
2.150026,40,97.490088
2.185498,40,98.40519
-1.141106,40,98.467679
2.765235,40,98.561404
-2.070651,40,98.623884
7.717341,40,98.701991
4.720828,40,98.776929
4.345476,40,99.784788
6.947445,40,99.845636
5.225049,40,99.923743
8.475371,40,100.001807
4.473246,40,100.061901
9.362932,40,100.125692
5.657837,40,101.053866
-1.849211,40,101.113443
3.774912,40,101.191551
3.974973,40,101.238413
-0.180865,40,101.328026
8.82067,40,101.406132
7.559924,40,102.375649
2.757149,40,102.438179
8.833502,40,102.51628
6.360496,40,102.594348
4.325417,40,102.672455
8.251611,40,102.750599
2.799728,40,103.595835
0.277083,40,103.689563
-1.162117,40,103.767633
4.407005,40,103.845793
8.59896,40,103.939506
3.660446,40,103.986371
3.768072,40,104.861121
5.389196,40,104.939272
6.822657,40,105.017373
4.022445,40,105.111109
6.149479,40,105.173551
8.27084,40,105.251696
5.07102,40,106.157694
4.977537,40,106.204598
5.676092,40,106.298322
4.532342,40,106.376391
2.926664,40,106.454534
2.574141,40,106.51702
4.992032,40,107.407397
0.764585,40,107.469886
6.277029,40,107.548038
7.985356,40,107.610477
5.260021,40,107.68862
5.181287,40,107.766733
3.456034,40,108.663215
4.020875,40,108.741288
2.756243,40,108.819438
3.726278,40,108.89754
5.404552,40,108.975648
3.140715,40,109.053751
5.148658,40,109.968711
2.162456,40,110.046802
-3.316132,40,110.124874
3.727549,40,110.203021
5.732658,40,110.281087
7.14571,40,110.354591
0.921376,40,111.293194
2.757677,40,111.371302
3.044392,40,111.457992
3.880628,40,111.520199
9.787751,40,111.594959
1.297074,40,111.673066
-2.267404,40,112.576133
-0.840732,40,112.623002
1.877783,40,112.701111
1.587677,40,112.779218
-0.449059,40,112.846584
-1.022494,40,112.937653
1.155392,40,113.904745
5.921706,40,113.984523
7.240596,40,114.047009
3.64785,40,114.109492
3.126275,40,114.187601
2.599729,40,114.265705
-2.103656,40,115.202985
1.379754,40,115.281135
6.652583,40,115.359198
3.195133,40,115.437306
4.158839,40,115.509879
0.575497,40,115.572414
5.624471,40,116.493701
8.428444,40,116.57177
-2.55799,40,116.649875
7.785571,40,116.712361
-0.937214,40,116.806088
-0.138344,40,116.868615
-1.403001,40,117.771373
6.301253,40,117.84952
8.46612,40,117.913275
7.957992,40,118.018641
6.427441,40,118.147264
3.682252,40,118.287887
4.576597,40,119.212572
0.412938,40,119.273678
-2.300346,40,119.351769
-3.63903,40,119.414271
-2.268945,40,119.487035
4.520681,40,119.580763
4.307722,40,120.593808
9.192781,40,120.671915
2.594164,40,120.768332
2.863633,40,120.893998
5.519512,40,120.973332
8.97481,40,121.051472
3.232717,40,121.997387
5.454085,40,122.083975
-0.553767,40,122.143147
3.132955,40,122.205632
4.300413,40,122.268157
4.986069,40,122.350772
5.736088,40,123.272829
2.368965,40,123.335357
-0.222658,40,123.426149
1.737959,40,123.541805
-3.565399,40,123.623803
5.181563,40,123.701922
8.028551,40,124.639191
3.263991,40,124.701633
8.380528,40,124.810984
3.161084,40,124.88909
3.495756,40,124.967196
1.523666,40,125.045336
9.464164,40,125.903943
5.769282,40,125.982051
1.178493,40,126.060199
-0.802891,40,126.122644
5.443004,40,126.200784
0.970733,40,126.278896
6.64229,40,127.16927
6.678011,40,127.231794
1.003581,40,127.325522
1.56606,40,127.387969
6.934913,40,127.466115
3.394689,40,127.544184
9.699219,40,128.403355
1.33041,40,128.481464
6.240856,40,128.559611
1.519607,40,128.637715
-1.917696,40,128.700196
10.414567,40,128.762688
6.405057,40,129.635582
5.952098,40,129.698109
3.658919,40,129.760553
10.538023,40,129.854322
