#{"t_start": 1635140438.365134, "env_id": "SpritesState-v0"}
r,l,t
7.486086,40,0.0312
-0.993322,40,0.062487
1.871149,40,0.109339
4.711342,40,0.151237
6.809061,40,0.187657
2.83025,40,0.218899
4.590389,40,0.312596
7.09853,40,0.359492
8.766666,40,0.390734
6.728455,40,0.421947
6.796613,40,0.453188
3.34622,40,0.484474
6.367181,40,0.593822
3.843902,40,0.625024
7.324669,40,0.656265
12.147116,40,0.687508
7.811984,40,0.718752
0.708943,40,0.749994
4.920332,40,0.843758
-7.205589,40,0.874963
0.8828,40,0.906208
-2.45452,40,0.937488
4.969302,40,0.981437
-2.85508,40,1.018331
12.02065,40,1.127632
2.50688,40,1.158905
10.110744,40,1.20577
3.939402,40,1.237013
6.849152,40,1.268224
7.774615,40,1.299498
5.155426,40,1.393196
6.11695,40,1.424467
8.071196,40,1.455724
7.447207,40,1.486953
1.286106,40,1.518167
5.6532,40,1.549407
7.998036,40,1.643138
2.801154,40,1.67438
1.58877,40,1.705654
7.828787,40,1.752515
-3.787068,40,1.783758
6.603747,40,1.815001
0.169172,40,1.908754
4.553599,40,1.939941
4.148252,40,1.971184
6.223645,40,2.002428
-0.484863,40,2.033702
0.016509,40,2.064942
5.910606,40,2.174312
7.697611,40,2.205503
0.635081,40,2.236746
2.175684,40,2.252368
2.891971,40,2.299264
4.212873,40,2.330504
8.735161,40,2.455446
6.173358,40,2.486719
6.462275,40,2.517929
2.315104,40,2.564839
4.738819,40,2.596067
4.958216,40,2.627309
6.357685,40,2.736628
9.751406,40,2.767907
6.227895,40,2.783492
4.509763,40,2.814769
4.780297,40,2.846019
5.266682,40,2.892875
8.650769,40,3.012378
5.562549,40,3.043843
4.996218,40,3.075086
6.168298,40,3.090676
6.453927,40,3.137568
1.984909,40,3.167386
7.374358,40,3.276734
3.156403,40,3.307946
1.291999,40,3.357564
4.494178,40,3.371567
0.173401,40,3.402841
8.333555,40,3.445006
3.650322,40,3.537572
2.711336,40,3.564198
5.1573,40,3.579858
3.576016,40,3.611061
5.027427,40,3.657955
-0.162906,40,3.689168
3.130644,40,3.783252
1.123735,40,3.814495
7.66243,40,3.861387
0.72184,40,3.892633
2.757123,40,3.923844
0.698599,40,3.953174
6.739143,40,4.052309
8.38076,40,4.099133
1.221027,40,4.114752
9.775329,40,4.165237
11.658384,40,4.1929
8.518572,40,4.224137
4.557313,40,4.302213
9.475135,40,4.333457
1.847955,40,4.349078
2.110368,40,4.391932
7.228216,40,4.411623
3.626308,40,4.442824
6.251234,40,4.536582
6.894788,40,4.567828
7.458325,40,4.608678
5.212501,40,4.630381
4.123746,40,4.677258
6.860626,40,4.708459
-0.66,40,4.808437
7.271421,40,4.83337
5.478119,40,4.850059
7.508317,40,4.896953
8.276132,40,4.928203
5.86072,40,4.959439
3.970464,40,5.053135
4.357935,40,5.08438
9.128262,40,5.115621
1.934562,40,5.146863
9.848636,40,5.162526
5.953033,40,5.212652
2.850753,40,5.304056
3.96587,40,5.350919
7.397461,40,5.382163
10.21789,40,5.429056
1.506696,40,5.460301
4.160417,40,5.491542
8.350653,40,5.600891
8.332525,40,5.647756
9.082889,40,5.678999
6.245169,40,5.710241
5.480059,40,5.757108
5.607388,40,5.772726
7.981795,40,5.897667
4.586587,40,5.913327
3.562921,40,5.944531
4.458446,40,5.98793
2.330212,40,6.022725
2.405793,40,6.050677
1.257231,40,6.144405
7.085898,40,6.175647
6.325499,40,6.20693
6.145057,40,6.25242
5.965113,40,6.285081
6.342369,40,6.316312
7.287586,40,6.425661
4.349333,40,6.472134
5.083001,40,6.503789
6.172505,40,6.519379
5.756929,40,6.550662
6.715227,40,6.597528
7.711127,40,6.702867
5.052837,40,6.722571
11.072671,40,6.753775
4.218243,40,6.78505
6.49167,40,6.831883
5.836872,40,6.863162
5.019729,40,6.956897
5.741801,40,6.99259
3.716624,40,7.029688
2.206338,40,7.065459
5.695073,40,7.096672
8.240991,40,7.125733
6.031441,40,7.221874
6.17881,40,7.253163
3.8865,40,7.299983
7.743877,40,7.339498
0.563673,40,7.361468
12.38165,40,7.392713
10.019208,40,7.48644
7.851939,40,7.502104
8.727157,40,7.548965
8.332558,40,7.580168
4.74868,40,7.611459
6.343643,40,7.642693
0.593751,40,7.753678
6.688362,40,7.783341
5.027474,40,7.798926
6.43657,40,7.830198
4.526124,40,7.877032
6.621831,40,7.908305
4.267583,40,8.017668
1.754602,40,8.048898
6.0148,40,8.080148
6.588239,40,8.127004
6.302401,40,8.158246
3.574315,40,8.189492
9.5837,40,8.298807
3.989692,40,8.330051
7.08585,40,8.361295
2.965615,40,8.392536
8.756523,40,8.439401
6.758228,40,8.470675
8.106006,40,8.55612
11.765135,40,8.580117
7.35472,40,8.626982
6.187577,40,8.673887
5.463187,40,8.689509
4.997204,40,8.720739
4.285648,40,8.830102
6.7094,40,8.876952
3.726545,40,8.908194
10.853637,40,8.939437
5.744154,40,8.986303
5.052453,40,9.017544
6.899957,40,9.095622
11.018467,40,9.126865
7.995422,40,9.173768
3.558927,40,9.204969
1.453711,40,9.251864
9.306549,40,9.283107
7.005077,40,9.376842
6.525198,40,9.408048
5.959938,40,9.454912
4.377777,40,9.486153
6.023303,40,9.501774
8.044671,40,9.548679
6.773026,40,9.642368
8.593595,40,9.689261
4.44262,40,9.720503
