#{"t_start": 1635270356.5900877, "env_id": "Sprites-v1"}
r,l,t
3.706403,40,0.7895
9.15465,40,0.851988
0.62769,40,0.930092
6.572418,40,1.008198
0.516616,40,1.086306
2.389417,40,1.13317
2.582706,40,2.225633
5.023291,40,2.310955
7.382135,40,2.38906
5.026035,40,2.467211
7.003485,40,2.529652
4.493533,40,2.623425
8.374645,40,4.731741
4.914626,40,4.809888
2.171308,40,4.872332
6.317862,40,4.93482
6.645099,40,5.012924
-2.311959,40,5.091072
5.695994,40,6.088465
7.701315,40,6.158278
1.46728,40,6.230086
2.857477,40,6.298901
7.41617,40,6.360776
4.212535,40,6.432544
3.874554,40,7.727383
3.808427,40,7.968723
10.622498,40,8.093699
4.637141,40,8.194226
1.779334,40,8.309767
2.912186,40,8.401885
1.164325,40,9.525066
5.438758,40,9.77231
4.34145,40,9.887117
4.993391,40,9.969
0.671744,40,10.066168
3.629431,40,10.137393
4.360591,40,11.259336
6.25536,40,11.329868
3.836362,40,11.407975
0.015886,40,11.48836
6.298581,40,11.739465
5.115743,40,11.863764
5.712384,40,13.124005
4.294812,40,13.248979
6.874813,40,13.348284
5.385411,40,13.435283
1.09133,40,13.518097
9.015641,40,13.689933
4.135888,40,15.195552
9.935073,40,15.319829
4.271325,40,15.453351
-1.11569,40,15.678306
-2.290277,40,15.83299
4.350541,40,15.97927
3.206882,40,17.473285
7.369163,40,17.574963
3.963063,40,17.684311
9.255489,40,17.793659
5.144083,40,17.871766
1.757297,40,17.965494
6.789918,40,19.035859
4.286938,40,19.119863
4.604889,40,19.223792
2.755633,40,19.304985
-0.629884,40,19.399905
2.304984,40,19.515595
9.931165,40,20.563034
5.666075,40,20.64704
3.932217,40,20.752677
-2.340943,40,20.851076
-5.667962,40,20.925868
6.877658,40,21.003976
4.973931,40,22.078143
2.280909,40,22.156253
5.334414,40,22.263613
10.048998,40,22.346436
3.273774,40,22.44
-1.882267,40,22.518229
4.477384,40,23.563238
7.715414,40,23.643446
6.814241,40,23.74461
3.481561,40,23.85455
