#{"t_start": 1635284677.2505496, "env_id": "Sprites-v0"}
r,l,t
5.012653,40,0.095793
6.204578,40,0.1739
7.002074,40,0.236388
-2.93351,40,0.314489
3.759333,40,0.37694
6.787182,40,0.470469
5.92727,40,0.769422
-0.174926,40,0.847528
8.166239,40,0.910016
6.666697,40,0.972501
2.418284,40,1.050607
5.994685,40,1.0975
6.250011,40,1.410986
3.259827,40,1.457847
7.752109,40,1.535957
0.372069,40,1.610702
5.157621,40,1.672281
2.52445,40,1.729987
2.612731,40,2.057668
-0.661322,40,2.135775
-0.526507,40,2.198263
7.024927,40,2.260745
8.456459,40,2.307659
2.625539,40,2.354515
3.458488,40,2.651325
5.665193,40,2.713801
7.937402,40,2.760631
4.721303,40,2.823115
5.088767,40,2.870021
8.347374,40,2.930073
3.959964,40,3.22685
0.710949,40,3.289334
2.157746,40,3.374579
4.641491,40,3.437067
-2.159435,40,3.49959
4.521565,40,3.577694
8.529136,40,3.874462
1.992581,40,3.936948
4.867694,40,3.983862
5.679266,40,4.030716
4.948483,40,4.093162
6.009821,40,4.155645
0.621716,40,4.483693
2.300245,40,4.530601
6.598504,40,4.577423
5.248019,40,4.639909
1.955402,40,4.718056
3.983822,40,4.780543
8.343343,40,5.077303
5.426452,40,5.139791
10.555161,40,5.202276
6.978545,40,5.264759
6.363786,40,5.311625
10.491421,40,5.38973
6.230496,40,5.670913
3.529493,40,5.749021
1.964085,40,5.811505
5.130567,40,5.874029
1.769565,40,5.936475
4.419309,40,5.998961
0.133079,40,6.280147
4.809016,40,6.358253
-5.015708,40,6.42074
8.254593,40,6.4676
4.29936,40,6.545708
0.256912,40,6.608193
8.033258,40,6.904998
1.290194,40,6.983104
0.074928,40,7.029969
4.69489,40,7.092453
4.092743,40,7.154938
1.207683,40,7.233083
6.408448,40,7.514229
7.469415,40,7.576715
8.632177,40,7.639231
2.41115,40,7.701688
2.443485,40,7.764171
5.188067,40,7.811034
6.778824,40,8.092257
6.938851,40,8.154745
-0.708284,40,8.217192
4.072653,40,8.279674
5.808046,40,8.326538
6.571836,40,8.389026
-0.23874,40,8.673033
-0.129527,40,8.735516
7.060076,40,8.813654
5.641528,40,8.891768
5.431872,40,8.938637
6.244768,40,9.016742
6.813394,40,9.308174
8.400892,40,9.370658
0.286349,40,9.433144
6.141857,40,9.480009
2.156282,40,9.542528
1.699172,40,9.623764
3.740332,40,9.915383
3.35012,40,9.977838
-0.451325,40,10.040322
4.89571,40,10.118461
0.685252,40,10.196537
-0.38459,40,10.259054
4.53688,40,10.577092
5.768381,40,10.6552
-0.400733,40,10.717684
2.826551,40,10.780201
2.81066,40,10.858275
2.597337,40,10.920814
10.85497,40,11.214875
2.716447,40,11.261699
3.686016,40,11.308563
3.019268,40,11.371052
4.715811,40,11.417955
0.225898,40,11.464778
2.131688,40,11.777204
5.56985,40,11.824068
9.016854,40,11.902215
4.468094,40,11.949038
8.1667,40,12.011562
3.114058,40,12.074008
0.556994,40,12.370816
1.468444,40,12.433299
3.781514,40,12.495784
-0.0296,40,12.542651
1.594549,40,12.605135
-0.489468,40,12.667619
4.957828,40,12.980048
5.811047,40,13.042564
4.434132,40,13.105017
2.295064,40,13.173866
9.289239,40,13.220733
11.759869,40,13.283216
2.292163,40,13.580023
7.260971,40,13.626925
3.255681,40,13.689414
7.598347,40,13.751902
-1.875566,40,13.81434
2.052586,40,13.861207
5.229442,40,14.142388
8.286094,40,14.204873
9.294221,40,14.267359
5.261263,40,14.314223
9.938646,40,14.373521
4.500992,40,14.420385
3.718356,40,14.71719
4.053035,40,14.779678
5.778237,40,14.842164
6.25164,40,14.889025
6.272579,40,14.967131
8.747782,40,15.02966
0.947967,40,15.347079
3.450556,40,15.409566
-0.02579,40,15.48766
