#{"t_start": 1635300514.566795, "env_id": "Sprites-v2"}
r,l,t
6.966959,40,0.093735
4.782398,40,0.156177
-0.32559,40,0.218662
1.79654,40,0.281147
8.278077,40,0.343476
6.724195,40,0.408369
6.474721,40,0.720795
5.540541,40,0.78328
1.294657,40,0.845765
4.423806,40,0.892629
6.159482,40,0.955115
6.580308,40,1.033224
10.86527,40,1.355561
0.32921,40,1.418713
-2.677177,40,1.499951
-3.608054,40,1.567812
-2.968892,40,1.630298
8.688027,40,1.714776
2.79589,40,2.040494
6.829694,40,2.099405
5.634293,40,2.177512
9.92535,40,2.263437
5.337147,40,2.342228
6.543847,40,2.430989
7.482918,40,2.832916
-1.319326,40,2.909708
4.388253,40,2.99149
5.182316,40,3.073272
2.187132,40,3.143085
6.647191,40,3.225863
3.725628,40,3.632535
-3.503425,40,3.689698
7.317811,40,3.763833
8.329063,40,3.832572
2.308391,40,3.916048
4.2504,40,3.999083
8.780206,40,4.402122
9.057404,40,4.47562
3.459947,40,4.538103
-0.231254,40,4.60059
-3.378616,40,4.663073
8.10924,40,4.725558
-1.187674,40,5.037984
5.810357,40,5.11609
5.69062,40,5.178576
4.627762,40,5.29144
-0.898006,40,5.360891
8.397449,40,5.432738
6.238217,40,5.718436
6.2753,40,5.796542
4.500916,40,5.89027
3.540782,40,5.984009
7.056126,40,6.062108
-1.2682,40,6.12459
7.197618,40,6.437017
0.431179,40,6.55738
6.357911,40,6.666742
1.422081,40,6.729214
9.694984,40,6.7917
4.359433,40,6.869807
5.262846,40,7.182234
5.648648,40,7.24472
5.1614,40,7.307204
0.533738,40,7.36969
4.010665,40,7.432175
3.211046,40,7.494661
3.666083,40,7.807087
-1.80582,40,7.869572
2.311979,40,7.947719
-2.456805,40,7.994543
8.94161,40,8.057026
4.834937,40,8.119513
8.76051,40,8.460477
3.185746,40,8.522962
4.277092,40,8.585448
7.107316,40,8.647933
4.766441,40,8.710418
1.234865,40,8.788524
4.346188,40,9.08533
2.456709,40,9.147815
3.275935,40,9.225921
9.419564,40,9.304027
-1.854547,40,9.382135
1.44901,40,9.44462
2.944702,40,9.757046
1.981169,40,9.819532
7.740047,40,9.882017
7.158243,40,9.944502
6.35045,40,10.022609
0.034306,40,10.085095
6.22108,40,10.4341
1.019313,40,10.512195
7.426198,40,10.605923
12.236042,40,10.668408
4.018928,40,10.762137
-0.4159,40,10.824622
3.427155,40,11.121426
2.47384,40,11.199535
-0.247941,40,11.274217
4.715671,40,11.334001
-0.027697,40,11.40028
0.768289,40,11.443297
1.099439,40,11.753647
-0.201561,40,11.831753
3.378677,40,11.878618
-3.416238,40,11.941102
-3.638981,40,11.987967
11.084958,40,12.050451
2.145733,40,12.347256
-3.939553,40,12.409744
4.016445,40,12.472227
5.423565,40,12.519091
3.839552,40,12.581577
-1.712406,40,12.659721
1.8243,40,12.940867
-2.529921,40,13.014198
5.386575,40,13.076681
2.133074,40,13.139168
7.280549,40,13.217274
4.604215,40,13.297041
1.810731,40,13.593849
7.10835,40,13.656332
3.531402,40,13.734439
9.259645,40,13.796924
6.459566,40,13.859409
1.232995,40,13.921895
2.124454,40,14.234322
4.257151,40,14.312429
9.250953,40,14.379209
6.769038,40,14.457314
2.090089,40,14.527522
7.486667,40,14.574393
7.247799,40,14.897509
9.793671,40,14.959995
3.029598,40,15.022482
6.127388,40,15.084965
5.396145,40,15.163073
-0.750751,40,15.225557
3.831461,40,15.52704
8.894212,40,15.589555
5.619592,40,15.636388
1.247806,40,15.714495
9.010494,40,15.792601
3.48663,40,15.839467
3.971671,40,16.105028
5.595257,40,16.183134
4.258208,40,16.26124
9.756083,40,16.330987
6.962079,40,16.37785
3.285027,40,16.455957
3.967863,40,16.752761
4.272379,40,16.830868
6.944525,40,16.893354
5.590278,40,16.966763
4.026382,40,17.029248
3.756756,40,17.107355
4.888812,40,17.357296
4.836762,40,17.41978
3.011027,40,17.497929
9.56869,40,17.560372
2.558086,40,17.638478
1.371896,40,17.700964
3.616114,40,18.008245
2.251812,40,18.070735
11.847497,40,18.148841
2.257297,40,18.211325
6.191815,40,18.273812
3.327028,40,18.336299
3.138684,40,18.648723
3.128917,40,18.711209
5.233209,40,18.773695
0.947773,40,18.836179
3.785118,40,18.914288
0.279756,40,18.992422
8.730063,40,19.273578
0.211602,40,19.336061
4.129333,40,19.398546
1.757521,40,19.476652
-1.20852,40,19.539137
5.4892,40,19.617244
0.41871,40,19.898428
2.341772,40,19.976536
-0.472264,40,20.054686
0.339046,40,20.101506
8.699168,40,20.163991
5.024471,40,20.226517
5.849696,40,20.538903
-9.177855,40,20.601389
4.33029,40,20.679538
5.776907,40,20.74198
1.860397,40,20.804466
10.113075,40,20.851368
7.647321,40,21.132551
6.950007,40,21.210619
4.102235,40,21.257483
2.999011,40,21.31997
8.826472,40,21.398077
2.181918,40,21.478525
2.419722,40,21.780659
5.809389,40,21.858766
3.409879,40,21.936872
3.516189,40,21.999359
9.981013,40,22.061843
1.064082,40,22.12433
0.766075,40,22.421134
4.956465,40,22.499242
1.135538,40,22.561759
3.099998,40,22.624212
4.261555,40,22.686699
3.250739,40,22.749183
4.921047,40,23.030367
7.270575,40,23.077231
7.180016,40,23.155374
1.607382,40,23.217822
2.819569,40,23.264685
3.867249,40,23.342791
1.503771,40,23.639596
