#{"t_start": 1635036545.776881, "env_id": "Sprites-v1"}
r,l,t
3.521429,40,0.109346
4.521114,40,0.171829
2.415772,40,0.249924
8.070807,40,0.328029
1.915222,40,0.390518
5.420943,40,0.468624
8.721285,40,1.363745
3.644476,40,1.443183
2.426503,40,1.490017
9.769168,40,1.57681
5.678665,40,1.654949
6.380937,40,1.733024
5.76981,40,2.617097
5.245073,40,2.679583
9.344553,40,2.757719
3.853034,40,2.820173
8.72651,40,2.913931
8.246843,40,2.976417
4.883107,40,3.842623
-4.303137,40,3.920727
-0.73364,40,3.99886
5.772775,40,4.061289
6.245054,40,4.139424
0.466326,40,4.21753
2.95271,40,5.071449
2.392794,40,5.13398
5.685358,40,5.212072
5.73734,40,5.290147
2.679396,40,5.368286
0.823071,40,5.446397
6.415627,40,6.266324
9.76252,40,6.344431
4.542404,40,6.391339
10.671838,40,6.469433
4.638543,40,6.531887
3.364007,40,6.610024
7.665158,40,7.852062
0.994834,40,7.947805
-1.600535,40,8.046542
6.709062,40,8.142286
9.406054,40,8.212124
4.170207,40,8.300863
-2.642131,40,9.276252
4.207424,40,9.348062
9.44526,40,9.410892
8.338729,40,9.472729
3.989053,40,9.545533
9.495744,40,9.603377
4.792246,40,10.593729
2.769738,40,10.674513
3.319103,40,10.747319
5.972931,40,10.812144
6.829073,40,10.870987
-4.586871,40,10.955761
2.66978,40,11.767589
9.910963,40,11.826432
4.460875,40,11.884279
7.425667,40,11.952135
6.098194,40,12.01094
9.042362,40,12.061848
6.528186,40,12.891585
-0.894077,40,12.949428
8.906494,40,13.017249
1.75193,40,13.079082
5.049113,40,13.14291
6.428779,40,13.209734
1.411181,40,14.087428
8.722856,40,14.177145
4.279617,40,14.247957
1.960802,40,14.312782
4.593959,40,14.429482
3.048458,40,14.50826
5.265702,40,15.463706
4.94522,40,15.532519
6.744301,40,15.605367
5.830161,40,15.682153
2.267186,40,15.757917
4.850452,40,15.834738
5.247964,40,16.805116
6.861267,40,16.896871
-0.737925,40,16.963703
6.597965,40,17.048466
3.773974,40,17.170141
3.650649,40,17.260897
3.320188,40,18.310091
9.446827,40,18.381938
0.395732,40,18.444731
1.841962,40,18.51255
2.626578,40,18.585394
8.861292,40,18.668135
11.797709,40,19.612609
0.376727,40,19.699376
-0.765523,40,19.764203
8.443851,40,19.830028
6.177483,40,19.897847
3.121629,40,19.975646
5.233163,40,20.865257
2.550526,40,20.931082
3.790125,40,21.000896
8.266782,40,21.053755
6.837906,40,21.1116
1.184778,40,21.176426
4.089288,40,22.044106
5.937192,40,22.126883
0.645576,40,22.194704
3.264517,40,22.270499
1.134648,40,22.328345
2.448729,40,22.40115
5.762139,40,23.268829
4.765733,40,23.329666
2.685364,40,23.397485
4.77096,40,23.45533
0.804778,40,23.512178
6.801978,40,23.584984
8.122638,40,24.605762
5.800311,40,24.682154
-2.123998,40,24.765959
-3.582771,40,24.851728
6.760997,40,24.940462
5.651915,40,24.999351
6.195595,40,25.901851
7.926863,40,25.971736
5.096343,40,26.049845
4.199953,40,26.129804
3.626019,40,26.211845
2.814827,40,26.349128
-0.519135,40,27.57884
4.78556,40,27.688545
4.705296,40,27.767334
1.853461,40,27.83572
5.557603,40,27.919563
5.36127,40,27.985345
4.352015,40,28.862788
9.001496,40,28.974868
2.887497,40,29.057185
5.337326,40,29.123712
-1.190014,40,29.198513
1.141026,40,29.269369
1.973938,40,30.24461
-0.732516,40,30.291474
5.987709,40,30.382118
5.452144,40,30.450879
0.660235,40,30.534737
6.683081,40,30.612803
5.017336,40,31.525054
5.117414,40,31.626064
0.217226,40,31.686001
7.793212,40,31.772121
6.182281,40,31.849953
3.822945,40,31.935916
5.893371,40,32.828945
3.825751,40,32.897793
8.525217,40,32.970607
7.6705,40,33.049392
1.464597,40,33.124192
4.160368,40,33.195013
2.356251,40,34.419859
-2.773526,40,34.519449
1.354652,40,34.603201
7.472242,40,34.676905
3.568835,40,34.768093
4.796446,40,34.840522
-1.020712,40,35.750423
4.16302,40,35.797294
5.112141,40,35.881988
3.834819,40,35.947472
-1.467398,40,36.002443
3.565631,40,36.085007
6.960019,40,37.12045
8.059611,40,37.206217
4.191361,40,37.311934
-1.894023,40,37.4775
6.944623,40,37.570244
0.421984,40,37.635071
3.144614,40,38.960525
5.189659,40,39.079079
-2.858608,40,39.190217
1.497393,40,39.280055
3.441965,40,39.360714
8.304165,40,39.43486
5.261061,40,40.361951
3.333911,40,40.440102
5.829114,40,40.523987
-6.77239,40,40.603776
2.717595,40,40.672585
1.806196,40,40.717107
4.703157,40,41.679841
4.94103,40,41.760125
11.178931,40,41.83698
10.061753,40,41.922171
0.984249,40,41.997866
2.314884,40,42.075967
2.284793,40,43.016435
2.43573,40,43.078921
8.733275,40,43.141405
2.614914,40,43.203933
4.291145,40,43.280179
-1.009085,40,43.35825
6.937638,40,44.315181
-0.589415,40,44.385473
-2.010569,40,44.468397
9.557978,40,44.547469
0.454622,40,44.625575
7.70236,40,44.692997
