#{"t_start": 1635143889.1806293, "env_id": "SpritesState-v1"}
r,l,t
-2.114121,40,0.064867
4.187106,40,0.103723
2.623018,40,0.149601
7.369658,40,0.202459
1.370861,40,0.239363
2.06307,40,0.270277
6.21718,40,0.38497
10.486187,40,0.404517
4.839617,40,0.457083
1.45016,40,0.482784
5.234864,40,0.514026
8.013358,40,0.545268
5.721089,40,0.640041
6.468054,40,0.677899
1.886905,40,0.705324
1.939092,40,0.736567
4.346015,40,0.767809
2.17163,40,0.810572
5.473666,40,0.894415
5.276423,40,0.92566
1.895347,40,0.972522
6.871308,40,1.014263
3.142749,40,1.036288
5.961863,40,1.068803
3.921225,40,1.161648
5.707844,40,1.192888
3.989187,40,1.231377
0.460936,40,1.256378
7.671424,40,1.299145
4.26273,40,1.318825
6.700306,40,1.412554
4.483524,40,1.428174
7.805585,40,1.468213
9.939929,40,1.500155
4.715121,40,1.538787
-0.553241,40,1.570029
4.728134,40,1.690037
0.503528,40,1.710731
1.203075,40,1.757592
1.996268,40,1.804456
5.831381,40,1.835698
1.6994,40,1.866941
6.252211,40,1.959171
6.16804,40,1.974792
5.067249,40,2.021657
5.425411,40,2.068521
1.180242,40,2.109141
8.493909,40,2.131225
-3.910428,40,2.245335
3.692726,40,2.278632
7.565199,40,2.325497
0.718029,40,2.356738
4.221754,40,2.403603
8.276663,40,2.419224
6.934736,40,2.526249
-0.973751,40,2.544249
-0.880449,40,2.575492
5.759672,40,2.622355
6.767236,40,2.653597
4.537938,40,2.684841
5.312393,40,2.778717
5.202188,40,2.80996
4.623565,40,2.841201
2.622987,40,2.856823
6.076975,40,2.903688
-0.03442,40,2.934931
-3.063287,40,3.044279
4.54694,40,3.075521
4.272986,40,3.091143
8.757155,40,3.138006
-0.834529,40,3.16925
6.770722,40,3.216113
5.85437,40,3.309843
7.906603,40,3.342203
6.938416,40,3.357235
5.366,40,3.388479
8.175976,40,3.419723
4.34751,40,3.450963
6.965293,40,3.575934
4.343429,40,3.607177
4.100733,40,3.65404
3.699674,40,3.685283
6.279702,40,3.732147
3.911977,40,3.747769
7.751743,40,3.857117
4.44109,40,3.888361
4.450308,40,3.919602
-0.701324,40,3.950847
3.210124,40,3.982088
2.216057,40,4.028953
-0.568889,40,4.12268
7.278563,40,4.169545
-0.127168,40,4.185165
6.484753,40,4.232029
8.030832,40,4.263272
1.910397,40,4.294515
2.794516,40,4.388575
5.110044,40,4.419816
7.042293,40,4.451059
2.970353,40,4.497926
5.939442,40,4.529172
2.299091,40,4.560413
2.551083,40,4.669757
6.206568,40,4.701001
5.09679,40,4.732243
9.367859,40,4.747865
2.522815,40,4.779108
6.71979,40,4.810351
1.693442,40,4.949171
-1.776834,40,4.991059
8.627008,40,5.02796
2.726452,40,5.06187
5.147568,40,5.091789
3.581923,40,5.104929
4.932511,40,5.221849
4.412176,40,5.268712
4.377171,40,5.311781
2.287364,40,5.343025
-1.150187,40,5.389886
2.471609,40,5.405508
6.183328,40,5.499236
6.003544,40,5.539031
1.291517,40,5.570274
2.250679,40,5.601516
2.384529,40,5.648381
5.792572,40,5.679622
8.441353,40,5.780569
7.723786,40,5.815476
5.271047,40,5.850383
9.207662,40,5.880302
9.514332,40,5.91122
7.510107,40,5.946127
4.875051,40,6.084641
7.534545,40,6.128524
-1.540308,40,6.166423
5.091589,40,6.20133
7.36539,40,6.235233
-0.525303,40,6.258871
10.174764,40,6.36822
11.776086,40,6.409037
11.165657,40,6.446331
6.285861,40,6.461952
9.268868,40,6.517684
7.497531,40,6.5865
7.779658,40,6.765022
1.903953,40,6.830845
9.125075,40,6.931583
8.172237,40,6.969475
3.506829,40,7.001389
6.712902,40,7.03334
3.785881,40,7.182904
4.511143,40,7.229778
3.976884,40,7.274659
7.894531,40,7.348461
3.915272,40,7.407319
4.662415,40,7.444205
5.791409,40,7.584828
10.187143,40,7.627713
9.784039,40,7.664615
5.693656,40,7.698524
5.864684,40,7.734834
0.975407,40,7.750456
3.352,40,7.835448
8.775164,40,7.866691
6.728779,40,7.897934
2.293657,40,7.913555
3.849171,40,7.960419
8.911288,40,7.991662
0.732989,40,8.102123
1.994433,40,8.133366
12.455379,40,8.172009
6.764119,40,8.201419
8.200227,40,8.232663
6.576981,40,8.263905
6.486338,40,8.373253
6.970958,40,8.404496
6.082591,40,8.435738
4.614869,40,8.46698
5.46363,40,8.498224
7.066552,40,8.541359
7.814133,40,8.627758
7.673897,40,8.681046
4.519723,40,8.702481
9.940841,40,8.749346
2.119349,40,8.780589
11.764918,40,8.811831
1.376863,40,8.90556
8.786298,40,8.936801
6.018062,40,8.968085
5.441645,40,9.014908
11.299943,40,9.030529
5.776855,40,9.061812
1.318983,40,9.1555
7.799675,40,9.200469
5.137975,40,9.234643
5.46165,40,9.265885
4.638651,40,9.297129
8.186617,40,9.32837
6.849481,40,9.422128
-0.528949,40,9.45334
2.938189,40,9.484584
0.929138,40,9.515829
5.938385,40,9.54707
4.934757,40,9.57831
8.263581,40,9.687701
4.308882,40,9.742709
1.060201,40,9.785635
5.544247,40,9.8325
2.672024,40,9.863745
5.8102,40,9.910891
3.962141,40,10.046522
6.520022,40,10.086427
7.18341,40,10.115338
1.414384,40,10.145258
6.983931,40,10.174181
3.850364,40,10.201109
6.265642,40,10.300843
4.523174,40,10.334104
3.461257,40,10.349725
10.14603,40,10.380967
9.716192,40,10.412211
5.006046,40,10.45315
9.930383,40,10.593775
3.032171,40,10.633669
9.48864,40,10.662592
8.030245,40,10.686584
7.575734,40,10.719301
5.484261,40,10.741409
8.671951,40,10.840379
9.977738,40,10.857412
3.251085,40,10.904277
8.423454,40,10.93552
6.976737,40,10.982127
6.074315,40,11.018444
7.356307,40,11.1198
7.432087,40,11.163683
5.974969,40,11.207566
4.428338,40,11.259426
8.553252,40,11.294333
2.429029,40,11.323255
7.630469,40,11.409497
3.079494,40,11.436114
6.925446,40,11.451738
8.30362,40,11.482979
10.497719,40,11.514222
5.773191,40,11.545464
5.184433,40,11.650064
4.985232,40,11.695893
6.86819,40,11.74092
5.088089,40,11.782238
9.697621,40,11.81753
8.776238,40,11.846481
6.973431,40,11.963609
8.445171,40,12.008523
7.525546,40,12.054801
1.254942,40,12.080196
8.763917,40,12.11248
8.894326,40,12.144144
6.324459,40,12.250857
6.9086,40,12.299727
13.139159,40,12.3476
8.460395,40,12.39547
9.057606,40,12.428383
7.644709,40,12.456402
10.5165,40,12.55015
4.41896,40,12.585053
7.161353,40,12.605677
4.514947,40,12.65259
6.904897,40,12.692012
7.469914,40,12.726946
6.165791,40,12.842121
4.914303,40,12.875609
3.257683,40,12.915504
9.743249,40,12.935187
7.514409,40,12.985495
10.191982,40,13.008617
6.77452,40,13.09753
8.223466,40,13.128446
4.19536,40,13.15248
6.61876,40,13.192999
2.46577,40,13.215969
6.166473,40,13.250254
8.563963,40,13.369936
7.512304,40,13.40484
5.709669,40,13.430771
8.172346,40,13.448422
4.613722,40,13.495323
3.706214,40,13.526569
4.972639,40,13.627546
3.952683,40,13.652552
5.704024,40,13.690367
5.311606,40,13.741196
7.29913,40,13.793056
7.086342,40,13.830863
10.217212,40,13.946972
11.445269,40,13.988645
4.791824,40,14.027618
12.306029,40,14.064521
7.825503,40,14.10478
7.833496,40,14.120401
5.034679,40,14.227534
9.678791,40,14.261445
4.170055,40,14.305329
5.198663,40,14.341232
7.229507,40,14.380126
9.650355,40,14.411045
7.716767,40,14.515802
8.935142,40,14.543689
4.059664,40,14.567604
6.931152,40,14.583279
4.34097,40,14.614516
4.459925,40,14.645711
8.298957,40,14.756083
6.096143,40,14.784255
5.68341,40,14.826984
6.770954,40,14.849961
4.280077,40,14.898263
4.225091,40,14.920241
9.187971,40,15.010668
7.392618,40,15.057532
3.353237,40,15.088775
9.555675,40,15.120015
4.983275,40,15.151289
8.768145,40,15.197116
10.890918,40,15.308665
4.054853,40,15.336678
7.681753,40,15.366409
9.078047,40,15.392318
3.274161,40,15.41329
5.535181,40,15.444571
6.127256,40,15.555284
5.36235,40,15.599998
5.228253,40,15.639892
10.917032,40,15.680782
7.703244,40,15.713692
8.449158,40,15.741619
4.731563,40,15.864813
5.106592,40,15.914679
8.517862,40,15.958561
-0.33373,40,15.989479
4.572831,40,16.031368
4.934427,40,16.060979
7.375353,40,16.163347
5.477258,40,16.198253
5.604058,40,16.235154
10.902624,40,16.267071
8.479181,40,16.295991
6.466496,40,16.336884
6.002156,40,16.456564
8.994882,40,16.513414
3.738715,40,16.557489
10.088126,40,16.602369
9.05749,40,16.634284
3.732589,40,16.660215
6.591176,40,16.781362
4.985377,40,16.821256
3.973475,40,16.863143
5.189156,40,16.889112
9.573754,40,16.922982
8.425526,40,16.949954
9.270113,40,17.049643
10.044694,40,17.084591
5.893396,40,17.121451
4.685998,40,17.156395
6.486958,40,17.193259
11.537807,40,17.220219
11.132998,40,17.320017
9.190304,40,17.36785
10.607893,40,17.420707
4.46405,40,17.468579
6.964418,40,17.4985
-0.113585,40,17.526427
6.982358,40,17.62915
8.977175,40,17.662061
11.917381,40,17.68899
8.927302,40,17.715918
10.736934,40,17.748831
5.258208,40,17.776755
10.958706,40,17.860533
7.597388,40,17.897434
5.972083,40,17.923364
8.495329,40,17.950293
8.487789,40,17.980212
9.472147,40,18.011129
7.321137,40,18.106873
6.32546,40,18.136794
7.404574,40,18.172696
5.300394,40,18.201619
5.226837,40,18.229545
8.902106,40,18.260462
7.989352,40,18.363942
4.267033,40,18.394231
9.006161,40,18.430167
8.952097,40,18.465669
9.777944,40,18.496903
10.753946,40,18.542764
9.241449,40,18.642605
10.069804,40,18.689106
6.753356,40,18.727747
6.164125,40,18.758979
8.414526,40,18.79023
7.21959,40,18.830168
7.265157,40,18.902612
7.65664,40,18.936646
6.588549,40,18.94989
8.991327,40,18.981133
7.200969,40,19.02803
7.234396,40,19.059272
5.812878,40,19.158209
10.561279,40,19.190849
12.59329,40,19.228514
